"","incgroup_prepost","presapp_track"
"1","$5,000-$9,999",NA
"2","$20,000-$22,499","Right Direction"
"3","$10,000-$12,499","Right Direction"
"4","$5,000-$9,999","Right Direction"
"5","$40,000-$44,999","Right Direction"
"6","$5,000-$9,999",NA
"7","Under $5,000","Right Direction"
"8","Under $5,000","Right Direction"
"9","$30,000-$34,999","Right Direction"
"10","$25,000-$27,499","Wrong Track"
"11","$175,000-$249,999","Wrong Track"
"12","$175,000-$249,999","Right Direction"
"13","$110,000-$124,999","Wrong Track"
"14","$50,000-$54,999","Wrong Track"
"15","$125,000-$149,999","Wrong Track"
"16","Under $5,000","Wrong Track"
"17","$150,000-$174,999","Wrong Track"
"18","$20,000-$22,499","Right Direction"
"19","Under $5,000","Right Direction"
"20","$20,000-$22,499","Right Direction"
"21","$25,000-$27,499",NA
"22","Under $5,000","Wrong Track"
"23","$30,000-$34,999","Wrong Track"
"24","$5,000-$9,999","Wrong Track"
"25","$40,000-$44,999","Wrong Track"
"26",NA,"Wrong Track"
"27","$25,000-$27,499","Wrong Track"
"28","$80,000-$89,999","Wrong Track"
"29","$45,000-$49,999","Wrong Track"
"30","$10,000-$12,499","Wrong Track"
"31","$100,000-$109,999","Wrong Track"
"32","$65,000-$69,999","Wrong Track"
"33","$25,000-$27,499","Right Direction"
"34","$30,000-$34,999","Wrong Track"
"35","$50,000-$54,999","Wrong Track"
"36","$12,500-$14,999","Wrong Track"
"37","$40,000-$44,999","Wrong Track"
"38","$12,500-$14,999","Wrong Track"
"39","$30,000-$34,999","Wrong Track"
"40","Under $5,000","Right Direction"
"41","$150,000-$174,999","Wrong Track"
"42",NA,NA
"43","$100,000-$109,999","Wrong Track"
"44","$22,500-$24,999","Wrong Track"
"45","$90,000-$99,999","Wrong Track"
"46","$30,000-$34,999","Wrong Track"
"47","$150,000-$174,999","Wrong Track"
"48","$125,000-$149,999","Wrong Track"
"49","$60,000-$64,999","Wrong Track"
"50","$70,000-$74,999","Wrong Track"
"51","$40,000-$44,999","Right Direction"
"52",NA,"Wrong Track"
"53","$100,000-$109,999","Wrong Track"
"54","$65,000-$69,999","Wrong Track"
"55",NA,"Wrong Track"
"56","$60,000-$64,999","Right Direction"
"57","$30,000-$34,999","Wrong Track"
"58","$50,000-$54,999","Wrong Track"
"59","$60,000-$64,999","Right Direction"
"60","$50,000-$54,999","Right Direction"
"61","$90,000-$99,999","Wrong Track"
"62","$70,000-$74,999","Right Direction"
"63","$30,000-$34,999","Wrong Track"
"64","$65,000-$69,999","Wrong Track"
"65","$50,000-$54,999","Wrong Track"
"66","$25,000-$27,499","Wrong Track"
"67",NA,"Right Direction"
"68","$65,000-$69,999","Right Direction"
"69","$20,000-$22,499","Wrong Track"
"70","$35,000-$39,999",NA
"71","$15,000-$17,499","Right Direction"
"72","$25,000-$27,499","Right Direction"
"73",NA,"Wrong Track"
"74","$70,000-$74,999","Wrong Track"
"75","$80,000-$89,999","Wrong Track"
"76","$100,000-$109,999","Wrong Track"
"77","$80,000-$89,999","Wrong Track"
"78","$30,000-$34,999","Wrong Track"
"79","$100,000-$109,999","Wrong Track"
"80","$125,000-$149,999","Right Direction"
"81","$150,000-$174,999","Wrong Track"
"82","$70,000-$74,999",NA
"83","$55,000-$59,999","Wrong Track"
"84","$100,000-$109,999","Right Direction"
"85",NA,"Wrong Track"
"86",NA,"Right Direction"
"87","Under $5,000","Right Direction"
"88","$30,000-$34,999","Wrong Track"
"89","$20,000-$22,499","Wrong Track"
"90","$20,000-$22,499","Wrong Track"
"91","$150,000-$174,999","Wrong Track"
"92","$50,000-$54,999","Wrong Track"
"93","$45,000-$49,999","Wrong Track"
"94","$35,000-$39,999","Wrong Track"
"95","$75,000-$79,999",NA
"96","$125,000-$149,999","Wrong Track"
"97","$20,000-$22,499","Wrong Track"
"98","$150,000-$174,999","Wrong Track"
"99","$27,500-$29,999","Wrong Track"
"100","$60,000-$64,999",NA
"101","$70,000-$74,999","Wrong Track"
"102","$40,000-$44,999","Wrong Track"
"103","$40,000-$44,999","Wrong Track"
"104","Under $5,000","Wrong Track"
